DNA_pscAAVlib_Prep2_1.fastq.gz,DNA_pscAAVlib_Prep2
DNA_AAVlib_DNAse_3cpc_1.fastq.gz,DNA_AAVlib_DNAse_3cpc
DNA_AAVlib_DNAse_30cpc_1.fastq.gz,DNA_AAVlib_DNAse_30cpc
mRNA_30cpc_SN_RatNr7_1.fastq.gz,mRNA_30cpc_SN
mRNA_30cpc_Ctx_RatNr7_1.fastq.gz,mRNA_30cpc_Ctx
mRNA_30cpc_Th_RatNr7_1.fastq.gz,mRNA_30cpc_Th
mRNA_30cpc_Str_RatNr7_1.fastq.gz,mRNA_30cpc_Str
mRNA_30cpc_SN_RatNr1_1.fastq.gz,mRNA_30cpc_SN
mRNA_30cpc_Ctx_RatNr1_1.fastq.gz,mRNA_30cpc_Ctx
mRNA_30cpc_Th_RatNr1_1.fastq.gz,mRNA_30cpc_Th
mRNA_30cpc_Str_RatNr1_1.fastq.gz,mRNA_30cpc_Str
mRNA_30cpc_SN_RatNr8_1.fastq.gz,mRNA_30cpc_SN
mRNA_30cpc_Ctx_RatNr8_1.fastq.gz,mRNA_30cpc_Ctx
mRNA_30cpc_Th_RatNr8_1.fastq.gz,mRNA_30cpc_Th
mRNA_30cpc_Str_RatNr8_1.fastq.gz,mRNA_30cpc_Str
mRNA_3cpc_SN_RatNr15_1.fastq.gz,mRNA_3cpc_SN
mRNA_3cpc_Ctx_RatNr15_1.fastq.gz,mRNA_3cpc_Ctx
mRNA_3cpc_Th_RatNr15_1.fastq.gz,mRNA_3cpc_Th
mRNA_3cpc_Str_RatNr15_1.fastq.gz,mRNA_3cpc_Str
mRNA_3cpc_SN_RatNr21_1.fastq.gz,mRNA_3cpc_SN
mRNA_3cpc_Ctx_RatNr21_1.fastq.gz,mRNA_3cpc_Ctx
mRNA_3cpc_Th_RatNr21_1.fastq.gz,mRNA_3cpc_Th
mRNA_3cpc_Str_RatNr21_1.fastq.gz,mRNA_3cpc_Str
mRNA_3cpc_Ctx_RatNr19_1.fastq.gz,mRNA_3cpc_Ctx
mRNA_3cpc_Th_RatNr19_1.fastq.gz,mRNA_3cpc_Th
mRNA_3cpc_Str_RatNr19_1.fastq.gz,mRNA_3cpc_Str
mRNA_3cpc_Th_RatNr20_1.fastq.gz,mRNA_3cpc_Th
mRNA_3cpc_Str_RatNr20_1.fastq.gz,mRNA_3cpc_Str
mRNA_3cpc_HEK293Nr2_1.fastq.gz,mRNA_3cpc_HEK293T
mRNA_30cpc_HEK293Nr3_1.fastq.gz,mRNA_30cpc_HEK293T
mRNA_3cpc_pNeuronNr6_1.fastq.gz,mRNA_3cpc_pNeuron
mRNA_30cpc_pNeuronNr7_1.fastq.gz,mRNA_30cpc_pNeuron
mRNA_30cpc_4wks_Ctx_RatNr2_1.fastq.gz,mRNA_30cpc_Ctx_4wks
mRNA_30cpc_4wks_SN_RatNr2_1.fastq.gz,mRNA_30cpc_SN_4wks
mRNA_30cpc_4wks_Str_RatNr2_1.fastq.gz,mRNA_30cpc_Str_4wks
mRNA_30cpc_4wks_Th_RatNr2_1.fastq.gz,mRNA_30cpc_Th_4wks
mRNA_3cpc_4wks_Ctx_RatNr13_1.fastq.gz,mRNA_3cpc_Ctx_4wks
mRNA_3cpc_4wks_SN_RatNr13_1.fastq.gz,mRNA_3cpc_SN_4wks
mRNA_3cpc_4wks_Str_RatNr13_1.fastq.gz,mRNA_3cpc_Str_4wks
mRNA_3cpc_4wks_Th_RatNr13_1.fastq.gz,mRNA_3cpc_Th_4wks
